commune,bti_commune,arrondisse,departemen,region
Mayo-Darle,Mayo-Darle 2010,Banyo,Mayo-Banyo,Adamaoua
Banyo,Banyo 2010,Banyo,Mayo-Banyo,Adamaoua
Bankim,Bankim 2010,Bankim,Mayo-Banyo,Adamaoua
Mbé,Mbe 2010,Mbé,Vina,Adamaoua
Tignère,Tignere 2010,Tignère,Faro-et-Déo,Adamaoua
Bélél,Belel,Bélél,Vina,Adamaoua
Galim-Tignère,Galim Tignere 2010,Galim-Tignère,Faro-et-Déo,Adamaoua
Tibati,Tibati 2010,Tibati,Djérem,Adamaoua
Meiganga,Meiganga,Meiganga,Mbéré,Adamaoua
Ngaoundal,Ngaoundal 2010,Ngaoundal,Djérem,Adamaoua
Dir,Dir 2010,Dir,Mbéré,Adamaoua
Kontcha,Kontcha 2010,Mayo-Baléo,Faro-et-Déo,Adamaoua
Mayo-Baléo,Mayo Baleo 2011,Mayo-Baléo,Faro-et-Déo,Adamaoua
Ngaoundéré III,Ngaoundere III 2010,Ngaoundéré III,Vina,Adamaoua
Nganha,Ngan-ha 2010,Nganha,Vina,Adamaoua
Nyambaka,Nyambaka 2010,Nyambaka,Vina,Adamaoua
Ngaoundéré II,Ngaoundere II 2010,Ngaoundéré II,Vina,Adamaoua
Ngaoundéré I,Ngaoundere I 2010,Ngaoundéré I,Vina,Adamaoua
Martap,Martap 2011,Martap,Vina,Adamaoua
Djohong,Djohong 2010,Djohong,Mbéré,Adamaoua
Ngaoui,Ngaoui 2010,Djohong,Mbéré,Adamaoua
